epoch,R2,RMSPE,RRSE,loss,mean_absolute_percentage_error,val_R2,val_RMSPE,val_RRSE,val_loss,val_mean_absolute_percentage_error
0,0.75142007138994005,372.30068434727048,0.62193860904670051,0.40114032604076244,488.30801730685766,0.79825916290283205,51.904502190483939,0.50002123514811203,0.25546982023451065,266.00853746202256
1,0.89278944671889882,413.50431206785601,0.40822233300150179,0.16663950637534813,450.06099940170475,0.87871231370502045,46.935009172227645,0.39285718003908793,0.15804984933800167,231.30579698350695
2,0.93149273292517953,454.00043638252919,0.3209267036414441,0.10341320405771703,462.71865532015579,0.91414283381568062,48.694154612223308,0.33219235208299425,0.11299103332890405,200.43456692165799
3,0.95231643414791722,536.98782703729319,0.27064209999861538,0.073497551228897076,491.95377378110533,0.93201951980590825,36.029193030463325,0.28999207417170209,0.086298911935753286,169.78675808376735
4,0.96326817480134375,167.64681123333213,0.23400030695361856,0.055010402450958888,211.22416125638986,0.95212247769037883,34.473119354248048,0.25552137096722921,0.067032816509405777,152.55041097005207
5,0.97091978258556788,324.1132707760658,0.21175248115151016,0.045029746308738801,335.40258020471646,0.95597615639368694,29.500976265801324,0.23683855632940928,0.057556858658790587,137.71087917751737
6,0.97390349014305777,390.01643181789069,0.19629053697909837,0.038845804940771174,366.53014780680337,0.96354118320677018,24.221533584594727,0.22113226387235854,0.050180153714285955,129.5781497531467
7,0.97861708270178904,213.95277766945921,0.18184640606244404,0.03336031719766281,235.7939067510911,0.96474190288119843,20.340288840399847,0.20455358955595229,0.042994480828444162,117.71055552164714
8,0.97998340085700708,233.56494860237027,0.17261174626556444,0.029942283705796723,238.42759305224007,0.97781744268205428,29.970911280314127,0.19290242625607384,0.038251526570982401,119.6365229288737
9,0.98190589569233078,199.96423789836743,0.16489342745439506,0.027263721069436014,211.43885304015359,0.99090595112906565,23.272086673312717,0.18282886213726468,0.034364714225133257,109.43483734130859
10,0.98447871105170548,236.16133143342572,0.15602747345412218,0.024400636480178362,232.52171442479263,0.98376481533050542,19.120074759589301,0.1729813254541821,0.03077535993523068,98.990176052517356
11,0.98549396314738713,170.55618648764528,0.14955225502267297,0.02244387980044624,192.69106292724609,0.98637128273646035,21.675637223985461,0.16889494690630172,0.029387101944949891,101.56861317952475
12,0.986431129037598,279.21505038414472,0.14470335889009781,0.021070950469117104,261.38295214617693,0.99090794987148711,16.839548534817165,0.16244502464930216,0.027183846218718423,95.272415839301217
13,0.98706984019573829,200.15477895854431,0.13958567329394964,0.019574039043099793,211.45054852520977,0.99615295595592923,18.433326403299969,0.15654094980822669,0.025225647911429405,90.508868408203128
14,0.98786162594218307,226.46154809645665,0.13488459487756094,0.01832922151611175,224.83142087959948,1.0074915515051948,19.200495232476129,0.15455321802033317,0.024579112148947185,90.752756754557296
15,0.98908314013186793,288.26632212415154,0.13141309273095778,0.017342978007631536,263.2818367475345,1.0156329658296372,16.086972109476726,0.15112563404772017,0.02347899874051412,85.982657877604169
16,0.99000802496333185,274.26470405672802,0.13191919819808301,0.017518732393229448,250.77363673080632,0.98809224367141724,22.348655064900715,0.15175611939695147,0.023617997724148961,92.453242492675784
17,0.98932778364346352,316.0241422959316,0.12918264244073702,0.016761789388126797,287.21608197247542,0.98471905655331082,17.953944947984482,0.14648637341128457,0.022039309475156997,87.463705274793838
18,0.99027554370738846,78.263823177196358,0.12509714710859604,0.015729317620948507,117.21991290810668,0.99541562663184269,19.655041207207574,0.13969109919336106,0.020072376396920947,83.757901679144965
19,0.99044223758909433,306.72408869472548,0.12281614700217305,0.015136586175656613,274.4536304238402,0.99264270199669735,16.641107601589628,0.13635291986995274,0.019141567746798198,78.664169989691842
20,0.9906241929089582,179.27221046730324,0.12107732903074335,0.014713091226179659,183.97734925069926,0.99461236000061037,26.725431421067981,0.13490552140606774,0.018739688810375001,85.259076605902777
